"","species"
"6122","Tasmanian Scrubwren"
"6123","Atherton Scrubwren"
"6124","White-browed Scrubwren"
"6125","Perplexing Scrubwren"
"6126","Brown Gerygone"
"6127","Grey Gerygone"
"6128","Norfolk Gerygone"
"6129","Lord Howe Gerygone"
"6130","Chatham Gerygone"
"6131","Fan-tailed Gerygone"
"6132","Rennell Gerygone"
"6133","Brown-breasted Gerygone"
"6134","Golden-bellied Gerygone"
"6135","Rufous-sided Gerygone"
"6136","Mangrove Gerygone"
"6137","Plain Gerygone"
"6138","Western Gerygone"
"6139","Dusky Gerygone"
"6140","Large-billed Gerygone"
"6141","Biak Gerygone"
"6142","Yellow-bellied Gerygone"
"6143","Green-backed Gerygone"
"6144","White-throated Gerygone"
"6145","Fairy Gerygone"
"6146","Mountain Thornbill"
"6147","Brown Thornbill"
"6148","Inland Thornbill"
"6149","Tasmanian Thornbill"
"6150","New Guinea Thornbill"
"6151","Chestnut-rumped Thornbill"
"6152","Buff-rumped Thornbill"
"6153","Western Thornbill"
"6154","Slender-billed Thornbill"
"6155","Yellow-rumped Thornbill"
"6156","Yellow Thornbill"
"6157","Grey Thornbill"
"6158","Striated Thornbill"
"6159","Slaty-backed Thornbill"
"6160","Southern Whiteface"
"6161","Chestnut-breasted Whiteface"
"6162","Banded Whiteface"
"6163","Papuan Babbler"
"6164","Grey-crowned Babbler"
"6165","Hall's Babbler"
"6166","White-browed Babbler"
"6167","Chestnut-crowned Babbler"
"6168","Papuan Logrunner"
"6169","Australian Logrunner"
"6170","Chowchilla"
"6171","Loria's Satinbird"
"6172","Crested Satinbird"
"6173","Yellow-breasted Satinbird"
"6174","Obscure Berrypecker"
"6175","Mid-mountain Berrypecker"
"6176","Black Berrypecker"
"6177","Fan-tailed Berrypecker"
"6178","Streaked Berrypecker"
"6179","Satin Berrypecker"
"6180","Thick-billed Berrypecker"
"6181","Spotted Berrypecker"
"6182","Dwarf Longbill"
"6183","Pygmy Longbill"
"6184","Yellow-bellied Longbill"
"6185","Slaty-headed Longbill"
"6186","Tit Berrypecker"
"6187","Western Crested Berrypecker"
"6188","Eastern Crested Berrypecker"
"6189","North Island Kokako"
"6190","South Island Kokako"
"6191","North Island Saddleback"
"6192","South Island Saddleback"
"6193","Huia"
"6194","Stitchbird"
"6195","Papuan Whipbird"
"6196","Eastern Whipbird"
"6197","Black-throated Whipbird"
"6198","White-bellied Whipbird"
"6199","Chirruping Wedgebill"
"6200","Chiming Wedgebill"
"6201","Spotted Jewel-babbler"
"6202","Blue Jewel-babbler"
"6203","Brown-headed Jewel-babbler"
"6204","Chestnut-backed Jewel-babbler"
"6205","Spotted Quail-thrush"
"6206","Chestnut Quail-thrush"
"6207","Copperback Quail-thrush"
"6208","Cinnamon Quail-thrush"
"6209","Nullarbor Quail-thrush"
"6210","Chestnut-breasted Quail-thrush"
"6211","Western Quail-thrush"
"6212","Painted Quail-thrush"
"6213","Rwenzori Batis"
"6214","Margaret's Batis"
"6215","Forest Batis"
"6216","Reichenow's Batis"
"6217","Dark Batis"
"6218","Cape Batis"
"6219","Woodward's Batis"
"6220","Chinspot Batis"
"6221","Senegal Batis"
"6222","Grey-headed Batis"
"6223","Pale Batis"
"6224","Pririt Batis"
"6225","Eastern Black-headed Batis"
"6226","Western Black-headed Batis"
"6227","Pygmy Batis"
"6228","Angolan Batis"
"6229","Gabon Batis"
"6230","Ituri Batis"
"6231","West African Batis"
"6232","Fernando Po Batis"
"6233","White-tailed Shrike"
"6234","West African Wattle-eye"
"6235","Chestnut Wattle-eye"
"6236","White-spotted Wattle-eye"
"6237","Banded Wattle-eye"
"6238","Black-throated Wattle-eye"
"6239","White-fronted Wattle-eye"
"6240","Brown-throated Wattle-eye"
"6241","Yellow-bellied Wattle-eye"
"6242","Red-cheeked Wattle-eye"
"6243","Black-necked Wattle-eye"
"6244","Jameson's Wattle-eye"
"6245","Fiery-breasted Bushshrike"
"6246","Monteiro's Bushshrike"
"6247","Grey-headed Bushshrike"
"6248","Lagden's Bushshrike"
"6249","Green-breasted Bushshrike"
"6250","Uluguru Bushshrike"
"6251","Mount Kupe Bushshrike"
"6252","Many-colored Bushshrike"
"6253","Black-fronted Bushshrike"
"6254","Olive Bushshrike"
"6255","Bocage's Bushshrike"
"6256","Orange-breasted Bushshrike"
"6257","Gorgeous Bushshrike"
"6258","Doherty's Bushshrike"
"6259","Bokmakierie"
"6260","Rosy-patched Bushshrike"
"6261","Marsh Tchagra"
"6262","Brown-crowned Tchagra"
"6263","Three-streaked Tchagra"
"6264","Southern Tchagra"
"6265","Black-crowned Tchagra"
"6266","Sabine's Puffback"
"6267","Pink-footed Puffback"
"6268","Red-eyed Puffback"
"6269","Black-backed Puffback"
"6270","Northern Puffback"
"6271","Pringle's Puffback"
"6272","Lowland Sooty Boubou"
"6273","Mountain Sooty Boubou"
"6274","Albertine Sooty Boubou"
"6275","Willard's Sooty Boubou"
"6276","Fülleborn's Boubou"
"6277","Slate-colored Boubou"
"6278","Lühder's Bushshrike"
"6279","Braun's Bushshrike"
"6280","Gabela Bushshrike"
"6281","Red-naped Bushshrike"
"6282","Black Boubou"
"6283","Ethiopian Boubou"
"6284","Tropical Boubou"
"6285","East Coast Boubou"
"6286","Southern Boubou"
"6287","Swamp Boubou"
"6288","Turati's Boubou"
"6289","Yellow-crowned Gonolek"
"6290","Papyrus Gonolek"
"6291","Black-headed Gonolek"
"6292","Crimson-breasted Shrike"
"6293","Yellow-breasted Boubou"
"6294","Brubru"
"6295","Yellow-breasted Boatbill"
"6296","Black-breasted Boatbill"
"6297","Red-tailed Vanga"
"6298","Red-shouldered Vanga"
"6299","Hook-billed Vanga"
"6300","Bernier's Vanga"
"6301","Lafresnaye's Vanga"
"6302","Van Dam's Vanga"
"6303","Pollen's Vanga"
"6304","Sickle-billed Vanga"
"6305","White-headed Vanga"
"6306","Chabert Vanga"
"6307","Blue Vanga"
"6308","Rufous Vanga"
"6309","Helmet Vanga"
"6310","Tylas Vanga"
"6311","Nuthatch Vanga"
"6312","Dark Newtonia"
"6313","Common Newtonia"
"6314","Archbold's Newtonia"
"6315","Red-tailed Newtonia"
"6316","Ward's Flycatcher"
"6317","Crossley's Vanga"
"6318","White-crested Helmetshrike"
"6319","Grey-crested Helmetshrike"
"6320","Yellow-crested Helmetshrike"
"6321","Red-billed Helmetshrike"
"6322","Rufous-bellied Helmetshrike"
"6323","Retz's Helmetshrike"
"6324","Gabela Helmetshrike"
"6325","Chestnut-fronted Helmetshrike"
"6326","Bar-winged Flycatcher-shrike"
"6327","Black-winged Flycatcher-shrike"
"6328","Large Woodshrike"
"6329","Malabar Woodshrike"
"6330","Common Woodshrike"
"6331","Sri Lanka Woodshrike"
"6332","Rufous-winged Philentoma"
"6333","Maroon-breasted Philentoma"
"6334","African Shrike-flycatcher"
"6335","Black-and-white Shrike-flycatcher"
"6336","Bornean Bristlehead"
"6337","Ashy Woodswallow"
"6338","White-breasted Woodswallow"
"6339","Fiji Woodswallow"
"6340","Ivory-backed Woodswallow"
"6341","Great Woodswallow"
"6342","White-backed Woodswallow"
"6343","Masked Woodswallow"
"6344","White-browed Woodswallow"
"6345","Black-faced Woodswallow"
"6346","Dusky Woodswallow"
"6347","Little Woodswallow"
"6348","Lowland Peltops"
"6349","Mountain Peltops"
"6350","Black Butcherbird"
"6351","Australian Magpie"
"6352","Grey Butcherbird"
"6353","Silver-backed Butcherbird"
"6354","Black-backed Butcherbird"
"6355","Pied Butcherbird"
"6356","Hooded Butcherbird"
"6357","Tagula Butcherbird"
"6358","Pied Currawong"
"6359","Black Currawong"
"6360","Grey Currawong"
"6361","Mottled Berryhunter"
"6362","Common Iora"
"6363","Marshall's Iora"
"6364","Green Iora"
"6365","Great Iora"
"6366","White-bellied Minivet"
"6367","Jerdon's Minivet"
"6368","Fiery Minivet"
"6369","Small Minivet"
"6370","Grey-chinned Minivet"
"6371","Sunda Minivet"
"6372","Short-billed Minivet"
"6373","Little Minivet"
"6374","Long-tailed Minivet"
"6375","Orange Minivet"
"6376","Scarlet Minivet"
"6377","Ashy Minivet"
"6378","Ryukyu Minivet"
"6379","Swinhoe's Minivet"
"6380","Rosy Minivet"
"6381","Madagascar Cuckooshrike"
"6382","Comoros Cuckooshrike"
"6383","Grauer's Cuckooshrike"
"6384","White-breasted Cuckooshrike"
"6385","Grey Cuckooshrike"
"6386","Stout-billed Cuckooshrike"
"6387","Hooded Cuckooshrike"
"6388","Cerulean Cuckooshrike"
"6389","Pied Cuckooshrike"
"6390","Ground Cuckooshrike"
"6391","Barred Cuckooshrike"
"6392","Black-faced Cuckooshrike"
"6393","Boyer's Cuckooshrike"
"6394","Buru Cuckooshrike"
"6395","Wallacean Cuckooshrike"
"6396","North Melanesian Cuckooshrike"
"6397","South Melanesian Cuckooshrike"
"6398","Bar-bellied Cuckooshrike"
"6399","Javan Cuckooshrike"
"6400","Large Cuckooshrike"
"6401","Andaman Cuckooshrike"
"6402","Slaty Cuckooshrike"
"6403","White-rumped Cuckooshrike"
"6404","Sunda Cuckooshrike"
"6405","White-bellied Cuckooshrike"
"6406","Manus Cuckooshrike"
"6407","Moluccan Cuckooshrike"
"6408","Black Cuckooshrike"
"6409","Red-shouldered Cuckooshrike"
"6410","Petit's Cuckooshrike"
"6411","Purple-throated Cuckooshrike"
"6412","Western Wattled Cuckooshrike"
"6413","Eastern Wattled Cuckooshrike"
"6414","Golden Cuckooshrike"
"6415","McGregor's Cuckooshrike"
"6416","New Caledonian Cuckooshrike"
"6417","White-winged Cuckooshrike"
"6418","Blackish Cuckooshrike"
"6419","Black-bellied Cuckooshrike"
"6420","Pale-shouldered Cicadabird"
"6421","Kai Cicadabird"
"6422","Grey-headed Cuckooshrike"
"6423","Pale Cicadabird"
"6424","Black-bibbed Cicadabird"
"6425","Makira Cicadabird"
"6426","Solomons Cuckooshrike"
"6427","Sulawesi Cicadabird"
"6428","Black-shouldered Cicadabird"
"6429","Grey-capped Cicadabird"
"6430","Sula Cicadabird"
"6431","Common Cicadabird"
"6432","Admiralty Cicadabird"
"6433","Palau Cicadabird"
"6434","Yap Cicadabird"
"6435","Pohnpei Cicadabird"
"6436","Black Cicadabird"
"6437","Halmahera Cuckooshrike"
"6438","Pygmy Cuckooshrike"
"6439","Blue Cuckooshrike"
"6440","Polynesian Triller"
"6441","Samoan Triller"
"6442","White-shouldered Triller"
"6443","Long-tailed Triller"
"6444","White-winged Triller"
"6445","Rufous-bellied Triller"
"6446","Black-browed Triller"
"6447","Biak Triller"
"6448","White-browed Triller"
"6449","Varied Triller"
"6450","Mussau Triller"
"6451","Black-and-white Triller"
"6452","Pied Triller"
"6453","White-rumped Triller"
"6454","Black-winged Cuckooshrike"
"6455","Black-headed Cuckooshrike"
"6456","Indochinese Cuckooshrike"
"6457","Lesser Cuckooshrike"
"6458","Mauritius Cuckooshrike"
"6459","Reunion Cuckooshrike"
"6460","Yellowhead"
"6461","Whitehead"
"6462","Pipipi"
"6463","Varied Sittella"
"6464","Papuan Sittella"
"6465","Black Sittella"
"6466","Wattled Ploughbill"
"6467","Rufous-naped Bellbird"
"6468","Piping Bellbird"
"6469","Crested Bellbird"
"6470","Crested Shriketit"
"6471","Maroon-backed Whistler"
"6472","Sangihe Shrikethrush"
"6473","Black Pitohui"
"6474","Olive Whistler"
"6475","Red-lored Whistler"
"6476","Gilbert's Whistler"
"6477","Mangrove Whistler"
"6478","Green-backed Whistler"
"6479","White-vented Whistler"
"6480","Island Whistler"
"6481","Biak Whistler"
"6482","Rusty Whistler"
"6483","Brown-backed Whistler"
"6484","Yellow-bellied Whistler"
"6485","Sulphur-vented Whistler"
"6486","Bornean Whistler"
"6487","Vogelkop Whistler"
"6488","Grey Whistler"
"6489","Fawn-breasted Whistler"
"6490","Sclater's Whistler"
"6491","Rusty-breasted Whistler"
"6492","Yellow-throated Whistler"
"6493","Baliem Whistler"
"6494","Black-chinned Whistler"
"6495","Australian Golden Whistler"
"6496","Western Whistler"
"6497","Bismarck Whistler"
"6498","Oriole Whistler"
"6499","Louisiade Whistler"
"6500","Rennell Whistler"
"6501","Melanesian Whistler"
"6502","New Caledonian Whistler"
"6503","Fiji Whistler"
"6504","Temotu Whistler"
"6505","Tongan Whistler"
"6506","Mangrove Golden Whistler"
"6507","Samoan Whistler"
"6508","Hooded Whistler"
"6509","Bougainville Whistler"
"6510","Bare-throated Whistler"
"6511","Lorentz's Whistler"
"6512","Regent Whistler"
"6513","Golden-backed Whistler"
"6514","Rufous Whistler"
"6515","Black-headed Whistler"
"6516","White-bellied Whistler"
"6517","Wallacean Whistler"
"6518","Drab Whistler"
"6519","Cinnamon-breasted Whistler"
"6520","White-breasted Whistler"
"6521","Morningbird"
"6522","White-bellied Pitohui"
"6523","Rusty Pitohui"
"6524","Bower's Shrikethrush"
"6525","Sooty Shrikethrush"
"6526","Arafura Shrikethrush"
"6527","Variable Shrikethrush"
"6528","Waigeo Shrikethrush"
"6529","Mamberamo Shrikethrush"
"6530","Tagula Shrikethrush"
"6531","Sepik-Ramu Shrikethrush"
"6532","Rufous Shrikethrush"
"6533","Grey Shrikethrush"
"6534","Sandstone Shrikethrush"
"6535","Yellow-billed Shrike"
"6536","Magpie Shrike"
"6537","Northern White-crowned Shrike"
"6538","Southern White-crowned Shrike"
"6539","Tiger Shrike"
"6540","Souza's Shrike"
"6541","Bull-headed Shrike"
"6542","Brown Shrike"
"6543","Red-backed Shrike"
"6544","Isabelline Shrike"
"6545","Red-tailed Shrike"
"6546","Burmese Shrike"
"6547","Emin's Shrike"
"6548","Bay-backed Shrike"
"6549","Long-tailed Shrike"
"6550","Grey-backed Shrike"
"6551","Mountain Shrike"
"6552","Mackinnon's Shrike"
"6553","Lesser Grey Shrike"
"6554","Loggerhead Shrike"
"6555","Northern Shrike"
"6556","Great Grey Shrike"
"6557","Iberian Grey Shrike"
"6558","Giant Grey Shrike"
"6559","Chinese Grey Shrike"
"6560","Grey-backed Fiscal"
"6561","Long-tailed Fiscal"
"6562","Taita Fiscal"
"6563","Somali Fiscal"
"6564","Northern Fiscal"
"6565","Southern Fiscal"
"6566","Sao Tome Fiscal"
"6567","Woodchat Shrike"
"6568","Masked Shrike"
"6569","Green Shrike-babbler"
"6570","Black-eared Shrike-babbler"
"6571","Black-headed Shrike-babbler"
"6572","Himalayan Shrike-babbler"
"6573","Blyth's Shrike-babbler"
"6574","Dalat Shrike-babbler"
"6575","Pied Shrike-babbler"
"6576","Clicking Shrike-babbler"
"6577","Trilling Shrike-babbler"
"6578","White-bellied Erpornis"
"6579","Rufous-browed Peppershrike"
"6580","Black-billed Peppershrike"
"6581","Chestnut-sided Shrike-Vireo"
"6582","Green Shrike-Vireo"
"6583","Yellow-browed Shrike-Vireo"
"6584","Slaty-capped Shrike-Vireo"
"6585","Grey-eyed Greenlet"
"6586","Rufous-crowned Greenlet"
"6587","Olivaceous Greenlet"
"6588","Ashy-headed Greenlet"
"6589","Brown-headed Greenlet"
"6590","Lemon-chested Greenlet"
"6591","Scrub Greenlet"
"6592","Grey-chested Greenlet"
"6593","Tawny-crowned Greenlet"
"6594","Lesser Greenlet"
"6595","Dusky-capped Greenlet"
"6596","Buff-cheeked Greenlet"
"6597","Golden-fronted Greenlet"
"6598","Rufous-naped Greenlet"
"6599","Golden Vireo"
"6600","Yellow-green Vireo"
"6601","Red-eyed Vireo"
"6602","Yucatan Vireo"
"6603","Black-whiskered Vireo"
"6604","Chivi Vireo"
"6605","Noronha Vireo"
"6606","Tepui Vireo"
"6607","Philadelphia Vireo"
"6608","Warbling Vireo"
"6609","Brown-capped Vireo"
"6610","Hutton's Vireo"
"6611","Grey Vireo"
"6612","Yellow-throated Vireo"
"6613","Yellow-winged Vireo"
"6614","Choco Vireo"
"6615","Blue-headed Vireo"
"6616","Cassin's Vireo"
"6617","Plumbeous Vireo"
"6618","Blue Mountain Vireo"
"6619","Flat-billed Vireo"
"6620","Mangrove Vireo"
"6621","Providencia Vireo"
"6622","Cozumel Vireo"
"6623","San Andres Vireo"
"6624","White-eyed Vireo"
"6625","Thick-billed Vireo"
"6626","Jamaican Vireo"
"6627","Cuban Vireo"
"6628","Bell's Vireo"
"6629","Puerto Rican Vireo"
"6630","Black-capped Vireo"
"6631","Dwarf Vireo"
"6632","Slaty Vireo"
"6633","North Island Piopio"
"6634","South Island Piopio"
"6635","Green Figbird"
"6636","Wetar Figbird"
"6637","Australasian Figbird"
"6638","Northern Variable Pitohui"
"6639","Raja Ampat Pitohui"
"6640","Southern Variable Pitohui"
"6641","Hooded Pitohui"
"6642","Isabela Oriole"
"6643","Grey-collared Oriole"
"6644","Black-eared Oriole"
"6645","Dusky-brown Oriole"
"6646","Olive-backed Oriole"
"6647","Timor Oriole"
"6648","Wetar Oriole"
"6649","Tanimbar Oriole"
"6650","Brown Oriole"
"6651","Green Oriole"
"6652","Black-and-crimson Oriole"
"6653","Black Oriole"
"6654","Maroon Oriole"
"6655","Silver Oriole"
"6656","Black-hooded Oriole"
"6657","Dark-throated Oriole"
"6658","Philippine Oriole"
"6659","White-lored Oriole"
"6660","Green-headed Oriole"
"6661","Western Oriole"
"6662","Sao Tome Oriole"
"6663","Black-headed Oriole"
"6664","Ethiopian Oriole"
"6665","Mountain Oriole"
"6666","Black-winged Oriole"
"6667","African Golden Oriole"
"6668","Indian Golden Oriole"
"6669","Eurasian Golden Oriole"
"6670","Black-naped Oriole"
"6671","Slender-billed Oriole"
"6672","Bronzed Drongo"
"6673","Lesser Racket-tailed Drongo"
"6674","Crow-billed Drongo"
"6675","Greater Racket-tailed Drongo"
"6676","Sri Lanka Drongo"
"6677","Andaman Drongo"
"6678","Sumatran Drongo"
"6679","Sulawesi Drongo"
"6680","Spangled Drongo"
"6681","Paradise Drongo"
"6682","Hair-crested Drongo"
"6683","Tablas Drongo"
"6684","Palawan Drongo"
"6685","Balicassiao"
"6686","Wallacean Drongo"
"6687","Ashy Drongo"
"6688","White-bellied Drongo"
"6689","Mayotte Drongo"
"6690","Crested Drongo"
"6691","Aldabra Drongo"
"6692","Grand Comoro Drongo"
"6693","Velvet-mantled Drongo"
"6694","Fork-tailed Drongo"
"6695","Black Drongo"
"6696","Fanti Drongo"
"6697","Glossy-backed Drongo"
"6698","Common Square-tailed Drongo"
"6699","Shining Drongo"
"6700","Western Square-tailed Drongo"
"6701","Sharpe's Drongo"
"6702","Mindanao Blue Fantail"
"6703","Visayan Blue Fantail"
"6704","Blue-headed Fantail"
"6705","Tablas Fantail"
"6706","Visayan Fantail"
"6707","White-throated Fantail"
"6708","White-spotted Fantail"
"6709","White-bellied Fantail"
"6710","White-browed Fantail"
"6711","Malaysian Pied Fantail"
"6712","Philippine Pied Fantail"
"6713","Spotted Fantail"
"6714","Willie Wagtail"
"6715","Brown-capped Fantail"
"6716","Cinnamon-tailed Fantail"
"6717","Northern Fantail"
"6718","Biak Fantail"
"6719","Cockerell's Fantail"
"6720","Sooty Thicket Fantail"
"6721","Black Thicket Fantail"
"6722","White-bellied Thicket Fantail"
"6723","Black Fantail"
"6724","Chestnut-bellied Fantail"
"6725","Friendly Fantail"
"6726","Grey Fantail"
"6727","New Zealand Fantail"
"6728","Mangrove Fantail"
"6729","Brown Fantail"
"6730","Makira Fantail"
"6731","Rennell Fantail"
"6732","Streaked Fantail"
"6733","Kadavu Fantail"
"6734","Samoan Fantail"
"6735","Rufous-tailed Fantail"
"6736","Black-and-cinnamon Fantail"
"6737","Dimorphic Fantail"
"6738","Palau Fantail"
"6739","Streak-breasted Fantail"
"6740","Tawny-backed Fantail"
"6741","Sulawesi Fantail"
"6742","Peleng Fantail"
"6743","Taliabu Fantail"
"6744","Long-tailed Fantail"
"6745","Rufous-backed Fantail"
"6746","Bismarck Fantail"
"6747","Mussau Fantail"
"6748","Malaita Fantail"
"6749","Manus Fantail"
"6750","Rufous Fantail"
"6751","Pohnpei Fantail"
"6752","Arafura Fantail"
"6753","Drongo Fantail"
"6754","Cerulean Flycatcher"
"6755","Natewa Silktail"
"6756","Taveuni Silktail"
"6757","Black-naped Monarch"
"6758","Pale-blue Monarch"
"6759","Short-crested Monarch"
"6760","Celestial Monarch"
"6761","Blue-mantled Crested Flycatcher"
"6762","Blue-headed Crested Flycatcher"
"6763","Bedford's Paradise Flycatcher"
"6764","Rufous-vented Paradise Flycatcher"
"6765","Red-bellied Paradise Flycatcher"
"6766","Annobon Paradise Flycatcher"
"6767","Bates's Paradise Flycatcher"
"6768","African Paradise Flycatcher"
"6769","Indian Paradise Flycatcher"
"6770","Blyth's Paradise Flycatcher"
"6771","Tenggara Paradise Flycatcher"
"6772","Amur Paradise Flycatcher"
"6773","Japanese Paradise Flycatcher"
"6774","Blue Paradise Flycatcher"
"6775","Rufous Paradise Flycatcher"
"6776","Sao Tome Paradise Flycatcher"
"6777","Malagasy Paradise Flycatcher"
"6778","Seychelles Paradise Flycatcher"
"6779","Mascarene Paradise Flycatcher"
"6780","Kauai Elepaio"
"6781","Oahu Elepaio"
"6782","Hawaii Elepaio"
"6783","Rarotonga Monarch"
"6784","Tahiti Monarch"
"6785","Maupiti Monarch"
"6786","Marquesan Monarch"
"6787","Ua Pou Monarch"
"6788","Nuku Hiva Monarch"
"6789","Iphis Monarch"
"6790","Eiao Monarch"
"6791","Fatu Hiva Monarch"
"6792","Vanikoro Monarch"
"6793","Versicolored Monarch"
"6794","Slaty Monarch"
"6795","Buff-bellied Monarch"
"6796","Southern Shrikebill"
"6797","Fiji Shrikebill"
"6798","Black-throated Shrikebill"
"6799","Santa Cruz Shrikebill"
"6800","Rennell Shrikebill"
"6801","Chuuk Monarch"
"6802","Black Monarch"
"6803","Spot-winged Monarch"
"6804","Black-bibbed Monarch"
"6805","Flores Monarch"
"6806","Black-chinned Monarch"
"6807","Spectacled Monarch"
"6808","Moluccan Monarch"
"6809","White-tailed Monarch"
"6810","White-tipped Monarch"
"6811","Black-tipped Monarch"
"6812","Kofiau Monarch"
"6813","Biak Monarch"
"6814","Hooded Monarch"
"6815","Manus Monarch"
"6816","Mussau Monarch"
"6817","Black-tailed Monarch"
"6818","Solomons Monarch"
"6819","Kolombangara Monarch"
"6820","White-collared Monarch"
"6821","Rufous Monarch"
"6822","Island Monarch"
"6823","Black-faced Monarch"
"6824","Black-winged Monarch"
"6825","Bougainville Monarch"
"6826","Chestnut-bellied Monarch"
"6827","White-capped Monarch"
"6828","Yap Monarch"
"6829","Tinian Monarch"
"6830","White-eared Monarch"
"6831","White-naped Monarch"
"6832","Tanimbar Monarch"
"6833","Golden Monarch"
"6834","Ochre-collared Monarch"
"6835","Frilled Monarch"
"6836","Frill-necked Monarch"
"6837","Pied Monarch"
"6838","Magpie-lark"
"6839","Torrent-lark"
"6840","Oceanic Flycatcher"
"6841","Palau Flycatcher"
"6842","Guam Flycatcher"
"6843","Pohnpei Flycatcher"
"6844","Moluccan Flycatcher"
"6845","Biak Black Flycatcher"
"6846","Leaden Flycatcher"
"6847","Steel-blue Flycatcher"
"6848","Makira Flycatcher"
"6849","Melanesian Flycatcher"
"6850","Vanikoro Flycatcher"
"6851","Samoan Flycatcher"
"6852","Azure-crested Flycatcher"
"6853","Chestnut-throated Flycatcher"
"6854","Broad-billed Flycatcher"
"6855","Satin Flycatcher"
"6856","Shining Flycatcher"
"6857","Mussau Flycatcher"
"6858","Velvet Flycatcher"
"6859","Dyaul Flycatcher"
"6860","Paperbark Flycatcher"
"6861","Restless Flycatcher"
"6862","Crested Jay"
"6863","Malayan Black Magpie"
"6864","Bornean Black Magpie"
"6865","Siberian Jay"
"6866","Sichuan Jay"
"6867","Canada Jay"
"6868","Black-collared Jay"
"6869","White-collared Jay"
"6870","Turquoise Jay"
"6871","Beautiful Jay"
"6872","Azure-hooded Jay"
"6873","Black-throated Jay"
"6874","Dwarf Jay"
"6875","White-throated Jay"
"6876","Silvery-throated Jay"
"6877","Bushy-crested Jay"
"6878","San Blas Jay"
"6879","Yucatan Jay"
"6880","Purplish-backed Jay"
"6881","Violaceous Jay"
"6882","Azure Jay"
"6883","Purplish Jay"
"6884","Curl-crested Jay"
"6885","Tufted Jay"
"6886","Black-chested Jay"
"6887","White-tailed Jay"
"6888","Cayenne Jay"
"6889","Azure-naped Jay"
"6890","Plush-crested Jay"
"6891","White-naped Jay"
"6892","Green Jay"
"6893","Inca Jay"
"6894","Brown Jay"
"6895","Black-throated Magpie-Jay"
"6896","White-throated Magpie-Jay"
"6897","Blue Jay"
"6898","Steller's Jay"
"6899","Mexican Jay"
"6900","Transvolcanic Jay"
"6901","Unicolored Jay"
"6902","California Scrub Jay"
"6903","Woodhouse's Scrub Jay"
"6904","Island Scrub Jay"
"6905","Florida Scrub Jay"
"6906","Pinyon Jay"
"6907","Eurasian Jay"
"6908","Black-headed Jay"
"6909","Lidth's Jay"
"6910","Azure-winged Magpie"
"6911","Iberian Magpie"
"6912","Sri Lanka Blue Magpie"
"6913","Taiwan Blue Magpie"
"6914","Yellow-billed Blue Magpie"
"6915","Red-billed Blue Magpie"
"6916","White-winged Magpie"
"6917","Common Green Magpie"
"6918","Indochinese Green Magpie"
"6919","Javan Green Magpie"
"6920","Bornean Green Magpie"
"6921","Rufous Treepie"
"6922","Sumatran Treepie"
"6923","Bornean Treepie"
"6924","Grey Treepie"
"6925","White-bellied Treepie"
"6926","Collared Treepie"
"6927","Andaman Treepie"
"6928","Racket-tailed Treepie"
"6929","Hooded Treepie"
"6930","Ratchet-tailed Treepie"
"6931","Eurasian Magpie"
"6932","Maghreb Magpie"
"6933","Asir Magpie"
"6934","Black-rumped Magpie"
"6935","Oriental Magpie"
"6936","Black-billed Magpie"
"6937","Yellow-billed Magpie"
"6938","Stresemann's Bushcrow"
"6939","Henderson's Ground Jay"
"6940","Biddulph's Ground Jay"
"6941","Pander's Ground Jay"
"6942","Pleske's Ground Jay"
"6943","Clark's Nutcracker"
"6944","Spotted Nutcracker"
"6945","Kashmir Nutcracker"
"6946","Red-billed Chough"
"6947","Alpine Chough"
"6948","Piapiac"
"6949","Western Jackdaw"
"6950","Daurian Jackdaw"
"6951","House Crow"
"6952","New Caledonian Crow"
"6953","Banggai Crow"
"6954","Slender-billed Crow"
"6955","Small Crow"
"6956","Palawan Crow"
"6957","Violet Crow"
"6958","Piping Crow"
"6959","Flores Crow"
"6960","Mariana Crow"
"6961","Long-billed Crow"
"6962","White-billed Crow"
"6963","Bougainville Crow"
"6964","Brown-headed Crow"
"6965","Grey Crow"
"6966","Cape Crow"
"6967","Rook"
"6968","American Crow"
"6969","Tamaulipas Crow"
"6970","Sinaloa Crow"
"6971","Fish Crow"
"6972","Hispaniolan Palm Crow"
"6973","Cuban Palm Crow"
"6974","Jamaican Crow"
"6975","Cuban Crow"
"6976","White-necked Crow"
"6977","Hawaiian Crow"
"6978","Carrion Crow"
"6979","Hooded Crow"
"6980","Collared Crow"
"6981","Large-billed Crow"
"6982","Eastern Jungle Crow"
"6983","Indian Jungle Crow"
"6984","Torresian Crow"
"6985","Bismarck Crow"
"6986","Little Crow"
"6987","Forest Raven"
"6988","Little Raven"
"6989","Australian Raven"
"6990","Pied Crow"
"6991","Brown-necked Raven"
"6992","Somali Crow"
"6993","Northern Raven"
"6994","Chihuahuan Raven"
"6995","Fan-tailed Raven"
"6996","White-necked Raven"
"6997","Thick-billed Raven"
"6998","White-winged Chough"
"6999","Apostlebird"
"7000","Lesser Melampitta"
"7001","Greater Melampitta"
"7002","Blue-capped Ifrit"
"7003","Halmahera Paradise-crow"
"7004","Obi Paradise-crow"
"7005","Glossy-mantled Manucode"
"7006","Jobi Manucode"
"7007","Crinkle-collared Manucode"
"7008","Curl-crested Manucode"
"7009","Trumpet Manucode"
"7010","Long-tailed Paradigalla"
"7011","Short-tailed Paradigalla"
"7012","Arfak Astrapia"
