"","species"
"516","Mount Cameroon Spurfowl"
"517","Handsome Spurfowl"
"518","Chestnut-naped Spurfowl"
"519","Black-fronted Spurfowl"
"520","Erckel's Spurfowl"
"521","Djibouti Spurfowl"
"522","Swierstra's Spurfowl"
"523","Ahanta Spurfowl"
"524","Grey-striped Spurfowl"
"525","Jackson's Spurfowl"
"526","Red-billed Spurfowl"
"527","Cape Spurfowl"
"528","Natal Spurfowl"
"529","Hildebrandt's Spurfowl"
"530","Double-spurred Spurfowl"
"531","Scaly Spurfowl"
"532","Heuglin's Spurfowl"
"533","Clapperton's Spurfowl"
"534","Harwood's Spurfowl"
"535","Swainson's Spurfowl"
"536","Yellow-necked Spurfowl"
"537","Grey-breasted Spurfowl"
"538","Red-necked Spurfowl"
"539","Spotted Nightjar"
"540","White-throated Nightjar"
"541","Solomons Nightjar"
"542","New Caledonian Nightjar"
"543","Satanic Nightjar"
"544","Papuan Nightjar"
"545","Archbold's Nightjar"
"546","Malaysian Eared Nightjar"
"547","Great Eared Nightjar"
"548","Collared Nightjar"
"549","Nacunda Nighthawk"
"550","Least Nighthawk"
"551","Sand-colored Nighthawk"
"552","Lesser Nighthawk"
"553","Common Nighthawk"
"554","Antillean Nighthawk"
"555","Short-tailed Nighthawk"
"556","Rufous-bellied Nighthawk"
"557","Band-tailed Nighthawk"
"558","Plain-tailed Nighthawk"
"559","Blackish Nightjar"
"560","Pygmy Nightjar"
"561","Pauraque"
"562","Anthony's Nightjar"
"563","Todd's Nightjar"
"564","Little Nightjar"
"565","Roraiman Nightjar"
"566","Cayenne Nightjar"
"567","Sickle-winged Nightjar"
"568","White-winged Nightjar"
"569","Band-winged Nightjar"
"570","Tschudi's Nightjar"
"571","Swallow-tailed Nightjar"
"572","Lyre-tailed Nightjar"
"573","White-tailed Nightjar"
"574","Spot-tailed Nightjar"
"575","Ladder-tailed Nightjar"
"576","Scissor-tailed Nightjar"
"577","Long-trained Nightjar"
"578","Least Poorwill"
"579","Jamaican Poorwill"
"580","Choco Poorwill"
"581","Eared Poorwill"
"582","Yucatan Poorwill"
"583","Ocellated Poorwill"
"584","Common Poorwill"
"585","Chuck-will's-widow"
"586","Rufous Nightjar"
"587","Cuban Nightjar"
"588","Hispaniolan Nightjar"
"589","Tawny-collared Nightjar"
"590","Yucatan Nightjar"
"591","Silky-tailed Nightjar"
"592","Buff-collared Nightjar"
"593","Eastern Whip-poor-will"
"594","Mexican Whip-poor-will"
"595","Puerto Rican Nightjar"
"596","Dusky Nightjar"
"597","Brown Nightjar"
"598","Red-necked Nightjar"
"599","Jungle Nightjar"
"600","Grey Nightjar"
"601","Palau Nightjar"
"602","European Nightjar"
"603","Sombre Nightjar"
"604","Rufous-cheeked Nightjar"
"605","Egyptian Nightjar"
"606","Sykes's Nightjar"
"607","Nubian Nightjar"
"608","Golden Nightjar"
"609","Jerdon's Nightjar"
"610","Large-tailed Nightjar"
"611","Mees's Nightjar"
"612","Andaman Nightjar"
"613","Philippine Nightjar"
"614","Sulawesi Nightjar"
"615","Donaldson Smith's Nightjar"
"616","Black-shouldered Nightjar"
"617","Fiery-necked Nightjar"
"618","Montane Nightjar"
"619","Indian Nightjar"
"620","Madagascar Nightjar"
"621","Swamp Nightjar"
"622","Nechisar Nightjar"
"623","Plain Nightjar"
"624","Star-spotted Nightjar"
"625","Savanna Nightjar"
"626","Freckled Nightjar"
"627","Bonaparte's Nightjar"
"628","Salvadori's Nightjar"
"629","Prigogine's Nightjar"
"630","Bates's Nightjar"
"631","Long-tailed Nightjar"
"632","Slender-tailed Nightjar"
"633","Square-tailed Nightjar"
"634","Standard-winged Nightjar"
"635","Pennant-winged Nightjar"
"636","Oilbird"
"637","Great Potoo"
"638","Long-tailed Potoo"
"639","Northern Potoo"
"640","Common Potoo"
"641","Andean Potoo"
"642","White-winged Potoo"
"643","Rufous Potoo"
"644","Marbled Frogmouth"
"645","Papuan Frogmouth"
"646","Tawny Frogmouth"
"647","Solomons Frogmouth"
